#       time         integral Re         integral Im         integral Re         integral Im
#       r =            30.000000           30.000000           50.000000           50.000000
  15.3000000    5.0920943172e-15   -5.2335635272e-16   -6.7899167024e-16    1.1417800989e-14
  15.4000000    5.8740277802e-15    7.3193189743e-16    1.8588570100e-15    9.8444278987e-15
  15.5000000    7.2348537025e-15    2.6456452759e-16    5.4356347496e-15    1.5366030559e-14
  15.6000000    3.9322960770e-15    1.3692041031e-16   -7.2289005965e-16    9.6373239474e-15
  15.7000000    4.2891599212e-15   -1.5692913931e-15   -3.6338170020e-15    3.0483940534e-15
  15.8000000    4.5918432527e-15   -2.5869095889e-15    3.9820656221e-15   -7.4693604439e-16
  15.9000000    2.7217387486e-16   -2.5924555101e-15    4.0655291551e-15    2.7173753264e-17
  16.0000000   -1.1047314421e-15   -1.4688763964e-15    8.1498087540e-15   -3.3059108156e-15
  16.1000000   -5.9969586257e-16   -1.7029038212e-15   -1.4036271595e-15   -9.9378383577e-15
  16.2000000    1.6476426457e-15   -2.0640380390e-16    4.6666724596e-15   -6.9917354271e-15
  16.3000000    1.6544217182e-15    1.3730857971e-15    1.4183189704e-14   -3.0789997345e-15
  16.4000000    4.9791268765e-16    5.5461046959e-16    1.3915500003e-14   -5.1103920310e-15
  16.5000000   -3.0198320302e-15   -1.8525645104e-16    1.0919319892e-14   -4.7573988120e-15
  16.6000000   -2.8242307200e-15   -2.9136277122e-16    9.9568717010e-15   -4.1981175611e-15
  16.7000000   -3.5077551158e-15   -1.4309703532e-15    3.8386878918e-15   -4.6104114574e-16
  16.8000000   -1.1449632478e-15    5.0866184215e-16   -5.8026223074e-15    8.0508634923e-15
  16.9000000   -5.7763226085e-15    1.5111364848e-15   -1.4388139242e-14    6.1689466993e-15
  17.0000000   -4.9754098100e-15    5.1256533837e-15   -1.0954437384e-14    8.8458437303e-15
  17.1000000   -4.9910519106e-15    9.7927103003e-16   -1.4467103529e-14    9.0924791951e-15
  17.2000000   -4.1984644396e-15    2.4747862615e-16   -1.6581209286e-14    6.9656494717e-15
  17.3000000   -4.2949465747e-15    1.6709361877e-15   -1.7781939847e-14   -3.8039118810e-16
  17.4000000   -5.2363682975e-15    2.0062331930e-15   -8.1090358959e-15    1.8218208105e-15
  17.5000000   -2.7065260735e-15    9.0153164191e-16   -3.0721935732e-15    2.2761079786e-15
  17.6000000    1.6405861954e-15    3.3045641181e-15    5.9497404056e-15   -2.4671589376e-15
  17.7000000    4.1416280054e-16    5.2885348070e-15    1.7753835737e-14    1.1051764334e-15
  17.8000000    1.6525146640e-15    4.9144080514e-15    4.5644323586e-15   -6.8483177165e-15
  17.9000000   -1.9289524161e-16    5.8066860604e-15   -3.0118740334e-15   -1.1124925643e-14
  18.0000000   -4.6118666930e-15    5.5374541211e-15   -1.0796854920e-14   -8.8589045680e-15
  18.1000000   -6.4846928916e-16   -4.4587634782e-16   -1.3102930522e-14   -5.5223307050e-15
  18.2000000   -9.2267631703e-16    8.7177391528e-17   -2.4506517374e-15   -3.3886269729e-15
  18.3000000   -9.9663814035e-16    2.5392894309e-16   -4.2770155001e-15   -5.5826118389e-15
  18.4000000    2.5434900293e-15    5.2684991112e-16   -4.1006116278e-16   -4.3928514753e-15
  18.5000000    2.9715543251e-16    2.6604713354e-15   -5.1861922980e-15   -9.1652536680e-16
  18.6000000   -6.9673679946e-16    1.1334400079e-15    1.3729942305e-15   -2.2291168348e-15
  18.7000000   -3.6924812846e-15    2.8844814797e-15    5.1917251155e-16    3.1851851941e-15
  18.8000000   -3.5054357500e-15    2.1543631506e-15    6.7845369362e-15    9.3805653993e-15
  18.9000000    8.2559633840e-16    1.1463797069e-15    1.3369300211e-14    1.2969623762e-14
  19.0000000    1.0464539000e-16    1.1221991817e-15    7.5055587301e-15   -1.1061503573e-15
  19.1000000   -4.2251328187e-15    3.9996877099e-15   -3.0479311212e-16   -4.4993253803e-16
  19.2000000   -6.7707541682e-16    8.0940114843e-15    1.8718536702e-15   -1.0299193436e-14
  19.3000000   -1.6551148567e-15    5.9681992051e-15    3.4318579327e-15   -7.6879457457e-15
  19.4000000   -8.1396752046e-15    6.4776604034e-15    6.0360289438e-15   -6.1902577802e-15
  19.5000000   -6.2305787357e-15    5.6847945905e-15    5.0732640316e-15   -5.6085563658e-15
  19.6000000   -5.3376827176e-15    7.6563735132e-15    3.4889001376e-15   -4.7405102797e-15
  19.7000000    4.6307825404e-15    7.2651437160e-15    8.4433044027e-15    1.2082902046e-15
  19.8000000    8.1114482490e-15    2.3572012807e-15    1.0065765295e-14    2.4119211574e-15
  19.9000000    3.5673114721e-15    4.6650922947e-15   -2.8812168854e-15    2.8984231523e-15
  20.0000000    4.9791516152e-15    4.9213058121e-15    2.5864214492e-15   -1.9502359579e-15
  20.1000000    1.1475995899e-14    6.3124951858e-15   -3.9047656009e-15   -6.7472323026e-15
  20.2000000    7.8554623874e-15    4.2590812440e-15   -8.5154939725e-15   -2.1964206691e-15
  20.3000000    7.0370626999e-15    4.1365175055e-15   -9.2740405338e-15    2.6761810452e-16
  20.4000000    3.7553630960e-15    2.3426162701e-15   -8.0591102599e-15    1.5048309951e-15
  20.5000000    2.0942315729e-15    4.7852166399e-15   -4.4404998895e-16    3.3332385290e-15
  20.6000000    1.3430042823e-15    2.4362882340e-15    1.1493561843e-15    4.5342006703e-15
  20.7000000   -1.5456656326e-15    3.0012610601e-15    7.8808010958e-15    7.8451583684e-15
  20.8000000   -1.1584366703e-15    7.0017668278e-16    1.8418906052e-14    7.2380669262e-15
  20.9000000   -2.3559947243e-16    1.1613937375e-15    3.6413293382e-15    8.9685229777e-15
  21.0000000   -1.6132352124e-15    6.4123327829e-16    4.2143652777e-15    7.0368504650e-15
  21.1000000   -6.5537866856e-15    4.1240472065e-15    2.2088150163e-15    3.4452748236e-15
  21.2000000   -3.2764466195e-15    1.5054987622e-15    3.9867999096e-15   -9.4593289186e-16
  21.3000000   -1.2168107222e-15   -8.6463983339e-16    5.2232525939e-15    9.0001100028e-16
  21.4000000   -2.6785956395e-15   -2.2715465848e-15    1.3507058924e-14   -2.9510175101e-16
  21.5000000   -5.4923618015e-15    6.1051404765e-18   -1.7727091629e-15    1.8042121552e-15
  21.6000000   -4.3945589618e-15    3.4931915594e-15   -4.5811726980e-16    6.9351391898e-15
  21.7000000    3.8497573598e-16    4.7767430683e-15    7.0343133131e-15    5.6091792183e-15
  21.8000000    2.6177516589e-15    8.0353440892e-15    1.2980170618e-14    4.6924145809e-15
  21.9000000    4.6179358508e-15    7.2637850941e-15    1.7016265130e-14    1.5077872853e-15
  22.0000000    7.3872467337e-15    5.5247931030e-15    8.5514615449e-15   -8.4501696277e-16
  22.1000000    3.9321088477e-15    5.8928757015e-15    4.6167695904e-15   -9.2485109880e-16
  22.2000000   -8.6785633803e-16    2.2050912909e-15    5.0691510238e-15   -2.8141389318e-15
  22.3000000   -4.7723908939e-15    2.2209812821e-15   -8.8744946043e-16    2.3113322322e-15
  22.4000000   -7.9418152558e-15   -7.2876313672e-16   -1.3054418117e-14    2.0124189649e-15
  22.5000000   -3.0932478821e-15   -2.4627595421e-15   -1.2445425299e-14    1.1390405923e-14
  22.6000000   -3.0666972851e-15   -3.8122730904e-15   -1.2126410221e-14    1.0926228879e-14
  22.7000000   -5.6459402309e-15   -2.6197314518e-15   -1.3779224693e-14    8.8770165372e-15
  22.8000000   -2.2879411497e-15   -2.9837411712e-15   -1.0967304085e-14    6.5630986719e-15
  22.9000000    9.0093558260e-15   -3.7052572726e-15   -1.4896934544e-14    4.4801792926e-15
  23.0000000    1.2304588983e-14   -4.0159477487e-15   -6.5311893367e-15    4.1370469129e-15
  23.1000000    1.1130568232e-14   -2.6483710654e-16   -1.5708095100e-14    3.1310154418e-15
  23.2000000    5.9313055722e-15    4.1237771194e-16   -8.1618028136e-15    2.6983250446e-15
  23.3000000   -1.3442859851e-15    3.1568659360e-15   -9.8667767977e-15    3.5256641384e-16
  23.4000000   -2.6395322013e-15    5.0289767559e-16    1.7546549464e-15   -4.1114561926e-15
  23.5000000   -8.0435882716e-15    1.0293723990e-15   -8.2420881388e-15   -2.3845846406e-15
  23.6000000   -7.1704304565e-15    2.7185707000e-15   -7.3592711154e-15    5.5941220597e-15
  23.7000000   -2.9042707760e-15    4.1969776323e-15   -8.4682467523e-15    2.1928237268e-15
  23.8000000    4.8652401117e-15    5.5334750821e-15   -1.0577006729e-14    1.2757430293e-15
  23.9000000    2.6099011433e-15    1.9288702195e-15   -1.1308403229e-14    2.8333136788e-15
  24.0000000    6.3612807226e-15    3.3028683449e-15   -6.3362587384e-15    2.4856505527e-15
  24.1000000    7.6379022937e-15    5.1479909163e-16    7.9428318563e-15    6.3876100674e-15
  24.2000000    7.9747737084e-15   -5.0005204293e-15    5.6445817489e-15   -1.0150844211e-15
  24.3000000    1.4396821691e-15   -5.4261862177e-15    1.1709732991e-14    2.6679562837e-15
  24.4000000    2.8521058421e-15   -1.4231063847e-15   -6.4702227791e-16    2.1959154512e-15
  24.5000000   -5.0602194106e-15   -2.1081708576e-16   -4.2332233970e-15   -2.1982162445e-15
  24.6000000   -1.3864078161e-15    7.5548650918e-16   -1.0553219248e-15    2.5740576969e-15
  24.7000000   -2.8576502169e-15    2.3754157885e-15   -1.4191713621e-14    1.6413844109e-16
  24.8000000   -7.7794823235e-15    1.8457273670e-15   -1.6005838065e-14   -1.4773775776e-15
  24.9000000   -2.8147763819e-15    4.1847883026e-15   -1.2669258394e-14   -3.6633437319e-16
  25.0000000    7.8673157055e-16    1.5112990584e-15   -9.5720948938e-15   -4.6549193461e-15
  25.1000000    1.7640005209e-15    1.7910880489e-16   -1.1162519368e-14   -1.6213234862e-15
  25.2000000    5.1365523423e-16   -9.0329379566e-16    1.8590488198e-15    5.5273156613e-16
  25.3000000    2.8706434534e-15   -2.9626507309e-15    2.4084935848e-15    3.7919844773e-15
  25.4000000    2.0146449691e-15   -2.4703714529e-15    1.6066807577e-15   -1.8535500599e-15
  25.5000000    2.3339562044e-15    2.2482384370e-17   -6.7696108378e-15    4.1197237179e-15
  25.6000000   -1.1103662037e-15    2.9468899268e-15   -4.5090993429e-15    8.4376040216e-15
  25.7000000   -2.0205399322e-15    5.1036668511e-15   -3.0880966318e-15    8.5837173780e-15
  25.8000000    1.7487357250e-15    6.3638416135e-15   -4.0319797551e-16    8.6527709139e-15
  25.9000000    5.8874435924e-15    4.7929757900e-15   -2.6636765590e-15    9.6282714297e-15
  26.0000000    3.2137462696e-15    3.6362555513e-15    1.9114190323e-16    1.2650746917e-14
  26.1000000   -2.0760347338e-15    6.0213293213e-16   -8.5015422900e-15    1.2747380655e-14
  26.2000000   -2.3322538613e-15   -2.7986321192e-16   -3.2027596069e-15    1.4246054764e-14
  26.3000000   -5.2116794710e-15   -1.7456162010e-15    1.6500489356e-15    9.4599430354e-15
  26.4000000   -4.7618186997e-15   -5.5837511895e-16    2.9029982952e-15    7.3770893293e-15
  26.5000000   -3.0244228795e-15   -1.0160043244e-15   -1.3762636369e-15    1.0329283066e-14
  26.6000000    2.7659411819e-15   -1.6851278164e-15   -1.0477383071e-15    7.0436488939e-15
  26.7000000    9.1755587542e-16   -1.5057718002e-16   -2.4690619550e-15    9.6006926206e-15
  26.8000000    1.9930318313e-15   -8.9089358338e-16    6.1986952670e-16    2.7292500347e-15
  26.9000000   -3.2571207508e-16   -2.1865777257e-15   -4.3823276681e-15    1.0735245297e-14
  27.0000000    1.8010006205e-15   -3.3091426553e-15   -2.6680302523e-15    9.7161331376e-15
  27.1000000   -2.0613870680e-15   -3.1232281191e-15   -1.6809878341e-15    7.8329015408e-15
  27.2000000   -1.4965811772e-15   -4.1563070676e-15   -7.5648476499e-15    7.0271373727e-15
  27.3000000   -5.9284178535e-15   -5.6107098185e-16   -9.6918453867e-15    3.7099938628e-15
  27.4000000   -6.0659826029e-15    3.3466635267e-15   -4.6719811516e-15    5.5506405556e-15
  27.5000000    1.5336496533e-15    3.7945088880e-15   -6.5710767634e-15    4.5698347919e-15
  27.6000000    2.2822809540e-15    2.3480513395e-15   -4.9760979112e-15    5.0176185330e-15
  27.7000000    7.6084519245e-15    3.5376334681e-15    4.9319699178e-16   -6.0965309785e-16
  27.8000000    6.2849564445e-15    2.4328419843e-15    1.1385735417e-14    5.3411013598e-15
  27.9000000    4.6039502399e-15    2.8326484015e-15    1.0188564315e-14    7.9290614782e-15
  28.0000000    1.9380437224e-15    3.1413937446e-15    1.0313777449e-14    1.3349745973e-14
